match_number,date,home_team,away_team,stadium,result,season,time,home_result,away_result,winner,home_sets_won,away_sets_won,number_of_sets,home_game_won,away_game_won,home_sets_lost,away_sets_lost
129818,02-10-21,DTU Volley,Team Køge,Engelsborghallen                ,3 - 0,2021-2022,14:30,3,0,DTU Volley,3,0,3,1,0,0,3
129819,02-10-21,Hvidovre VK.2,Farum-Holte,Frihedens Idrætscenter                ,0 - 3,2021-2022,15:00,0,3,Farum-Holte,0,3,3,0,1,3,0
129820,03-10-21,Gentofte Volley.2,KV 61,Kildeskovshal                 ,3 - 0,2021-2022,12:00,3,0,Gentofte Volley.2,3,0,3,1,0,0,3
129822,03-10-21,VLI,Frederiksberg Volley,Kedelhallen                ,2 - 3,2021-2022,13:30,2,3,Frederiksberg Volley,2,3,5,0,1,3,2
129817,03-10-21,Ishøj Volley,Grøndal EV,Strandgårdskolens sportshal                ,3 - 1,2021-2022,16:00,3,1,Ishøj Volley,3,1,4,1,0,1,3
129833,06-10-21,Ishøj Volley,Farum-Holte,Strandgårdskolens sportshal                ,2 - 3,2021-2022,19:00,2,3,Farum-Holte,2,3,5,0,1,3,2
129834,09-10-21,DTU Volley,Amager VK.2,Engelsborghallen                ,3 - 0,2021-2022,16:30,3,0,DTU Volley,3,0,3,1,0,0,3
129829,10-10-21,Grøndal EV,Gentofte Volley.2,Hillerødgades Sportssal                ,1 - 3,2021-2022,14:00,1,3,Gentofte Volley.2,1,3,4,0,1,3,1
129830,10-10-21,Frederiksberg Volley,Hvidovre VK.2,Kedelhallen                ,3 - 0,2021-2022,15:30,3,0,Frederiksberg Volley,3,0,3,1,0,0,3
129832,12-10-21,Team Køge,KV 61,Spar Nord Arena                ,3 - 2,2021-2022,20:30,3,2,Team Køge,3,2,5,1,0,2,3
129835,17-10-21,Frederiksberg Volley,Amager VK.2,Bülowsvejhallen                ,3 - 1,2021-2022,12:00,3,1,Frederiksberg Volley,3,1,4,1,0,1,3
129838,17-10-21,Hvidovre VK.2,Grøndal EV,Frihedens Idrætscenter                ,0 - 3,2021-2022,12:00,0,3,Grøndal EV,0,3,3,0,1,3,0
