GAME1: Kildeskovshallen-Gentofte Volley.2-2025-Feb-04 (25 - 19)
PLAYER_NUM,PLAYER_NAME,GAMES_PLAYED,POINTS_SCORED_ON_SERVE,PT_SCORE_PERCENT,ACES,SERVE_ERRORS,SERVE_ERROR_PERCENT,SERVE_NET_POINTS,PASS_RATING,PASS_ATTEMPTS,SERVE_RCV_ERRORS,COMBINED_KILLS,COMBINED_KILL_ERRORS,ATTACK_NET_POINTS,HITTING_EFFICIENCY,COMBINED_KILL_PERCENT,HITS_STILL_IN_PLAY,COMBINED_KILL_ATTEMPTS,ASSISTS,BALL_HANDLING,SETTING_ERRORS,BLOCKS,BLOCK_ERRORS,NET_BLOCKS,DIG_ERRORS,DIGS,DIG_ERROR_PERCENT,FAULTS
1,Lasse Nielsen,1,1,25.0%,1,0,0.0%,1,,0,0,1,0,1,0.333,33.3%,2,3,8,0,0,1,1,0,0,4,0.0%,0
3,Kristian Krag,1,1,33.3%,0,0,0.0%,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1,0.0%,0
6,Boerme,1,2,50.0%,0,1,25.0%,-1,2.67,3,0,5,0,5,0.714,71.4%,2,7,0,0,0,0,1,-1,1,2,33.3%,0
7,Bo,1,1,33.3%,0,0,0.0%,0,,0,0,1,0,1,0.500,50.0%,1,2,0,0,0,1,0,1,0,0,,1
12,Vestbjerg,1,5,71.4%,0,0,0.0%,0,1.40,10,2,2,3,-1,-0.125,25.0%,3,8,0,0,0,0,0,0,1,2,33.3%,0
15,Martin,1,2,50.0%,0,1,25.0%,-1,,0,0,3,2,1,0.143,42.9%,2,7,1,0,0,2,1,1,0,5,0.0%,0
16,Alex,1,0,,0,0,,0,2.00,3,0,0,0,0,,,0,0,2,0,0,0,0,0,0,0,,0
,(team),1,0,,0,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0

GAME2: Kildeskovshallen-Gentofte Volley.2-2025-Feb-04 (23 - 25)
PLAYER_NUM,PLAYER_NAME,GAMES_PLAYED,POINTS_SCORED_ON_SERVE,PT_SCORE_PERCENT,ACES,SERVE_ERRORS,SERVE_ERROR_PERCENT,SERVE_NET_POINTS,PASS_RATING,PASS_ATTEMPTS,SERVE_RCV_ERRORS,COMBINED_KILLS,COMBINED_KILL_ERRORS,ATTACK_NET_POINTS,HITTING_EFFICIENCY,COMBINED_KILL_PERCENT,HITS_STILL_IN_PLAY,COMBINED_KILL_ATTEMPTS,ASSISTS,BALL_HANDLING,SETTING_ERRORS,BLOCKS,BLOCK_ERRORS,NET_BLOCKS,DIG_ERRORS,DIGS,DIG_ERROR_PERCENT,FAULTS
1,Lasse Nielsen,1,6,75.0%,1,1,12.5%,0,,0,0,2,0,2,1.000,100.0%,0,2,6,1,0,0,1,-1,0,3,0.0%,1
3,Kristian Krag,1,3,60.0%,0,0,0.0%,0,,0,0,1,0,1,0.250,25.0%,3,4,0,0,0,1,1,0,0,1,0.0%,1
5,Bosse,1,0,,0,0,,0,2.00,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0
6,Boerme,1,1,33.3%,0,0,0.0%,0,1.67,6,1,1,1,0,0.000,12.5%,6,8,0,0,0,1,0,1,0,2,0.0%,0
7,Bo,1,0,0.0%,0,0,0.0%,0,,0,0,1,1,0,0.000,20.0%,3,5,0,0,0,0,1,-1,1,0,100.0%,0
9,Soeren,1,1,50.0%,0,1,50.0%,-1,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1,0.0%,0
12,Vestbjerg,1,0,0.0%,0,0,0.0%,0,1.63,8,1,1,0,1,0.125,12.5%,7,8,0,0,0,0,0,0,1,3,25.0%,0
15,Martin,1,1,50.0%,0,1,50.0%,-1,,0,0,2,3,-1,-0.100,20.0%,5,10,0,0,0,0,3,-3,0,0,,0
16,Alex,1,0,,0,0,,0,2.07,7,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0
,(team),1,0,,0,0,,0,0.00,1,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0

GAME3: Kildeskovshallen-Gentofte Volley.2-2025-Feb-04 (24 - 26)
PLAYER_NUM,PLAYER_NAME,GAMES_PLAYED,POINTS_SCORED_ON_SERVE,PT_SCORE_PERCENT,ACES,SERVE_ERRORS,SERVE_ERROR_PERCENT,SERVE_NET_POINTS,PASS_RATING,PASS_ATTEMPTS,SERVE_RCV_ERRORS,COMBINED_KILLS,COMBINED_KILL_ERRORS,ATTACK_NET_POINTS,HITTING_EFFICIENCY,COMBINED_KILL_PERCENT,HITS_STILL_IN_PLAY,COMBINED_KILL_ATTEMPTS,ASSISTS,BALL_HANDLING,SETTING_ERRORS,BLOCKS,BLOCK_ERRORS,NET_BLOCKS,DIG_ERRORS,DIGS,DIG_ERROR_PERCENT,FAULTS
1,Lasse Nielsen,1,1,25.0%,0,0,0.0%,0,,0,0,2,0,2,1.000,100.0%,0,2,6,0,0,2,0,2,2,5,28.6%,0
3,Kristian Krag,1,3,50.0%,0,0,0.0%,0,,0,0,1,0,1,0.500,50.0%,1,2,0,0,0,2,1,1,0,1,0.0%,1
6,Boerme,1,1,25.0%,0,1,25.0%,-1,1.90,5,0,1,1,0,0.000,20.0%,3,5,1,0,0,0,1,-1,0,5,0.0%,0
7,Bo,1,3,60.0%,0,2,40.0%,-2,0.00,1,1,1,0,1,0.250,25.0%,3,4,0,0,0,2,0,2,0,1,0.0%,0
9,Soeren,1,0,0.0%,0,1,50.0%,-1,,0,0,1,0,1,0.200,20.0%,4,5,0,0,0,1,0,1,0,1,0.0%,0
12,Vestbjerg,1,1,33.3%,0,1,33.3%,-1,1.94,9,0,3,2,1,0.083,25.0%,7,12,1,0,1,2,3,-1,1,0,100.0%,0
15,Martin,1,0,0.0%,0,1,100.0%,-1,,0,0,2,0,2,0.286,28.6%,5,7,0,0,0,0,0,0,0,0,,1
16,Alex,1,0,,0,0,,0,1.50,7,0,0,0,0,,,0,0,0,0,0,0,0,0,1,4,20.0%,0
,(team),1,0,,0,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0

GAME4: Kildeskovshallen-Gentofte Volley.2-2025-Feb-04 (27 - 25)
PLAYER_NUM,PLAYER_NAME,GAMES_PLAYED,POINTS_SCORED_ON_SERVE,PT_SCORE_PERCENT,ACES,SERVE_ERRORS,SERVE_ERROR_PERCENT,SERVE_NET_POINTS,PASS_RATING,PASS_ATTEMPTS,SERVE_RCV_ERRORS,COMBINED_KILLS,COMBINED_KILL_ERRORS,ATTACK_NET_POINTS,HITTING_EFFICIENCY,COMBINED_KILL_PERCENT,HITS_STILL_IN_PLAY,COMBINED_KILL_ATTEMPTS,ASSISTS,BALL_HANDLING,SETTING_ERRORS,BLOCKS,BLOCK_ERRORS,NET_BLOCKS,DIG_ERRORS,DIGS,DIG_ERROR_PERCENT,FAULTS
1,Lasse Nielsen,1,2,40.0%,1,0,0.0%,1,,0,0,1,1,0,0.000,25.0%,2,4,13,0,1,2,0,2,3,2,60.0%,0
3,Kristian Krag,1,3,50.0%,0,0,0.0%,0,,0,0,2,0,2,0.500,50.0%,2,4,0,1,0,2,0,2,0,3,0.0%,1
5,Bosse,1,0,0.0%,0,0,0.0%,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0
6,Boerme,1,3,50.0%,0,2,33.3%,-2,2.00,2,0,2,0,2,0.400,40.0%,3,5,0,0,0,1,0,1,1,1,50.0%,0
7,Bo,1,0,0.0%,0,0,0.0%,0,,0,0,1,0,1,1.000,100.0%,0,1,0,0,0,2,0,2,0,0,,0
9,Soeren,1,1,100.0%,0,0,0.0%,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0
11,Nicola,1,0,0.0%,0,1,50.0%,-1,1.91,11,0,3,2,1,0.056,16.7%,13,18,0,0,0,1,0,1,1,3,25.0%,0
12,Vestbjerg,1,0,0.0%,0,0,0.0%,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0
15,Martin,1,1,33.3%,0,0,0.0%,0,,0,0,5,1,4,0.286,35.7%,8,14,0,0,0,2,0,2,2,5,28.6%,0
16,Alex,1,0,,0,0,,0,2.23,11,0,0,0,0,,,0,0,0,0,0,0,0,0,3,3,50.0%,0
,(team),1,0,,0,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0

GAME5: Kildeskovshallen-Gentofte Volley.2-2025-Feb-04 (10 - 9)
PLAYER_NUM,PLAYER_NAME,GAMES_PLAYED,POINTS_SCORED_ON_SERVE,PT_SCORE_PERCENT,ACES,SERVE_ERRORS,SERVE_ERROR_PERCENT,SERVE_NET_POINTS,PASS_RATING,PASS_ATTEMPTS,SERVE_RCV_ERRORS,COMBINED_KILLS,COMBINED_KILL_ERRORS,ATTACK_NET_POINTS,HITTING_EFFICIENCY,COMBINED_KILL_PERCENT,HITS_STILL_IN_PLAY,COMBINED_KILL_ATTEMPTS,ASSISTS,BALL_HANDLING,SETTING_ERRORS,BLOCKS,BLOCK_ERRORS,NET_BLOCKS,DIG_ERRORS,DIGS,DIG_ERROR_PERCENT,FAULTS
1,Lasse Nielsen,1,1,50.0%,0,0,0.0%,0,,0,0,0,0,0,0.000,0.0%,1,1,8,0,0,1,0,1,0,2,0.0%,0
3,Kristian Krag,1,1,50.0%,0,1,50.0%,-1,,0,0,1,0,1,0.333,33.3%,2,3,0,0,1,0,0,0,0,0,,0
6,Boerme,1,1,50.0%,0,0,0.0%,0,1.75,2,0,1,2,-1,-0.250,25.0%,1,4,0,0,0,0,0,0,1,2,33.3%,0
7,Bo,1,1,50.0%,0,0,0.0%,0,,0,0,1,0,1,1.000,100.0%,0,1,0,0,0,1,0,1,0,0,,0
11,Nicola,1,0,0.0%,0,0,0.0%,0,1.50,4,0,1,0,1,1.000,100.0%,0,1,0,0,0,0,0,0,1,1,50.0%,0
15,Martin,1,0,0.0%,0,1,100.0%,-1,,0,0,5,1,4,0.571,71.4%,1,7,0,0,0,0,0,0,0,1,0.0%,0
16,Alex,1,0,,0,0,,0,2.67,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2,0.0%,0
,(team),1,0,,0,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0

MATCH: Kildeskovshallen-Gentofte Volley.2-2025-Feb-04
PLAYER_NUM,PLAYER_NAME,GAMES_PLAYED,POINTS_SCORED_ON_SERVE,PT_SCORE_PERCENT,ACES,SERVE_ERRORS,SERVE_ERROR_PERCENT,SERVE_NET_POINTS,PASS_RATING,PASS_ATTEMPTS,SERVE_RCV_ERRORS,COMBINED_KILLS,COMBINED_KILL_ERRORS,ATTACK_NET_POINTS,HITTING_EFFICIENCY,COMBINED_KILL_PERCENT,HITS_STILL_IN_PLAY,COMBINED_KILL_ATTEMPTS,ASSISTS,BALL_HANDLING,SETTING_ERRORS,BLOCKS,BLOCK_ERRORS,NET_BLOCKS,DIG_ERRORS,DIGS,DIG_ERROR_PERCENT,FAULTS
1,Lasse Nielsen,5,11,47.8%,3,1,4.3%,2,,0,0,6,1,5,0.417,50.0%,5,12,41,1,1,6,2,4,5,16,23.8%,1
3,Kristian Krag,5,11,50.0%,0,1,4.5%,-1,,0,0,5,0,5,0.385,38.5%,8,13,0,1,1,5,2,3,0,6,0.0%,3
5,Bosse,2,0,0.0%,0,0,0.0%,0,2.00,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0
6,Boerme,5,8,42.1%,0,4,21.1%,-4,1.94,18,1,10,4,6,0.207,34.5%,15,29,1,0,0,2,2,0,3,12,20.0%,0
7,Bo,5,5,41.7%,0,2,16.7%,-2,0.00,1,1,5,1,4,0.308,38.5%,7,13,0,0,0,6,1,5,1,1,50.0%,1
9,Soeren,3,2,40.0%,0,2,40.0%,-2,,0,0,1,0,1,0.200,20.0%,4,5,0,0,0,1,0,1,0,2,0.0%,0
11,Nicola,2,0,0.0%,0,1,33.3%,-1,1.80,15,0,4,2,2,0.105,21.1%,13,19,0,0,0,1,0,1,2,4,33.3%,0
12,Vestbjerg,4,6,46.2%,0,1,7.7%,-1,1.65,27,3,6,5,1,0.036,21.4%,17,28,1,0,1,2,3,-1,3,5,37.5%,0
15,Martin,5,4,36.4%,0,4,36.4%,-4,,0,0,17,7,10,0.222,37.8%,21,45,1,0,0,4,4,0,2,11,15.4%,1
16,Alex,5,0,,0,0,,0,2.05,31,0,0,0,0,,,0,0,2,0,0,0,0,0,4,9,30.8%,0
