,Player_Name,Games_Played,Points_Played,Got_Aced/Game,Passes/Game,Perfect_Passes/Game,Pass_Rating,Total_Pass_Error_%,3-pass_Percent,Pass_Attempts,1-pass,2-pass,3-pass,Over_the_Net_Pass,Got_Aced,Total_Pass_Errors,First_Ball_Side_Out_%,,team1,team2,kampnr,Serve_Attempts,Serve_%,Serve_Rating,1-Serve,2-Serve,3-Serve,Aces,Serve_Errors,Points_Lost_on_Serve,Points_Won_on_Serve,Serve_Net_Points,Point_Scoring_%,Serve_Error_%,Ace_%,Aces/Game,Serve_Attempts/Game,Serve_Errors/Game,Serve_Net_Points/Game,Errors:_Out,Errors:_Into_Net,Earned/Game,Errors/Game,Faults/Game,Total/Game,Plus/Minus_Total,Plus/Minus_Net_Total,Total_Earned,Total_Errors,Total_Faults,Total_Earned_(them),Total_Errors_(them),Total_Faults_(them),Block_Errors/Game,Blocks_Still_in_Play/Game,Blocks/Game,Block_Assists,Block_Errors,Block_Solos,Blocks_Still_in_Play,Blocks,Net_Blocks,Block_%,Block_Error_%,Dig_Errors/Game,Dig_Attempts/Game,Digs/Game,Digs,Dig_Attempts,Dig_Errors,Dig_Error_%,Dig_%,Kill_to_Dig_%,Attack_Attempt_to_Dig_%,Kills/Game,Attack_Errors/Game,Attack_Net_Points/Game,Hitting_Efficiency,Kill_%,Attack_Error_%,Attack_Attempts,Attack_Errors,Kills,Errors:_Blocked,season,hjemme,ude,spillested,played,resultat,result_for_frb,date,match_name,opponent,Points_Won_on_Serve_%
0,Alex, 5, 47,0.0,6.2,2.2,2.05, 0.0%, 35.5%,31.0,5.0,12.0,11.0,3.0,0.0,0.0, 29.4%, ,gev,frb,141063,0.0, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,-0.8,-4.0,-4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,0.8,2.6,1.8,9.0,13.0,4.0, 30.8%, 69.2%, 33.3%, 88.9%,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,2024/2025,Gentofte Volley.2,Frederiksberg Volley,Kildeskovshal 1 1,yes,3 - 2,lost,2024-09-29,gv2-frb,Gentofte Volley.2,
10,Alex, 3, 28,0.3,4.3,1.0,1.86, 7.1%, 21.4%,14.0,3.0,7.0,3.0,0.0,1.0,1.0, 33.3%, ,frb,k61,141067,0.0, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0,-6.0,-6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,1.3,3.0,1.7,5.0,9.0,4.0, 44.4%, 55.6%, 20.0%, 80.0%,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,2024/2025,Frederiksberg Volley,KV 61,Bülowsvejhallen 1,yes,3 - 0,won,2024-10-06,frb-kv ,KV 61,
21,Alex, 3, 33,1.0,6.0,1.3,1.6, 14.3%, 19.0%,21.0,5.0,8.0,4.0,1.0,3.0,3.0, 23.8%, ,fhv,frb,141084,0.0, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,-1.7,-5.0,-5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,0.7,3.3,2.7,8.0,10.0,2.0, 20.0%, 80.0%, 25.0%, 50.0%,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,2024/2025,Frederiksberg Volley,Farum-Holte,Bülowsvejhallen 1,yes,0 - 3,lost,2025-02-22,frb-fah,Farum-Holte,
31,Alex, 3, 34,0.3,6.0,2.0,1.95, 5.3%, 31.6%,19.0,5.0,7.0,6.0,0.0,1.0,1.0, 21.7%, ,frb,tkv,141089,0.0, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-3.0,-3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,0.7,4.7,4.0,12.0,14.0,2.0, 14.3%, 85.7%, 41.7%, 83.3%,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,2024/2025,Frederiksberg Volley,Team Køge,Bülowsvejhallen 1,yes,3 - 0,won,2024-11-02,frb-tkv,Team Køge,
41,Alex, 5, 38,0.0,3.6,1.0,1.92, 0.0%, 27.8%,18.0,5.0,7.0,5.0,1.0,0.0,0.0, 47.8%, ,frb,hvk,141099,0.0, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-5.0,-5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,1.0,3.2,2.2,11.0,16.0,5.0, 31.3%, 68.8%, 9.1%, 72.7%,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,2024/2025,Frederiksberg Volley,Hvidovre VK.2,Bülowsvejhallen 1,yes,2 - 3,lost,2024-11-23,frb-hv2,Hvidovre VK.2,
52,Alex, 4, 45,0.5,6.5,2.3,1.84, 7.1%, 32.1%,28.0,8.0,8.0,9.0,1.0,2.0,2.0, 35.5%, ,frb,gev,141108,0.0, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,-2.5,-10.0,-10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,1.5,2.5,1.0,4.0,10.0,6.0, 60.0%, 40.0%, 0.0%, 50.0%,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,2024/2025,Frederiksberg Volley,Gentofte Volley.2,Bülowsvejhallen 1,yes,3 - 1,won,2024-12-08,frb-gv2,Gentofte Volley.2,
64,Alex, 5, 53,0.4,6.4,2.4,1.99, 5.9%, 35.3%,34.0,7.0,12.0,12.0,1.0,2.0,2.0, 34.3%, ,avk,frb,141119,0.0, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,-1.4,-7.0,-7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,0.8,3.4,2.6,13.0,17.0,4.0, 23.5%, 76.5%, 7.7%, 76.9%,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,2024/2025,Amager Volley.2,Frederiksberg Volley,Sundbyhal 1 1,yes,3 - 2,lost,2025-01-12,avk-frb,Amager Volley.2,
75,Alex, 5, 38,0.4,2.6,0.8,1.73, 13.3%, 26.7%,15.0,4.0,5.0,4.0,0.0,2.0,2.0, 19.0%, ,frb,vli,141123,0.0, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-5.0,-5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,0.6,3.0,2.4,12.0,15.0,3.0, 20.0%, 80.0%, 25.0%, 83.3%,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,2024/2025,Frederiksberg Volley,VLI,Bülowsvejhallen 1,yes,3 - 2,won,2025-01-18,frb-vli,VLI,
92,Alex, 4, 35,0.3,2.5,1.5,2.36, 9.1%, 54.5%,11.0,0.0,4.0,6.0,0.0,1.0,1.0, 41.7%, ,frb,dtu,141139,0.0, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-3.0,-12.0,-12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,2.8,7.0,4.3,17.0,28.0,11.0, 39.3%, 60.7%, 29.4%, 70.6%,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,2024/2025,Frederiksberg Volley,DTU Volley,Bülowsvejhallen 1,yes,3 - 1,won,2025-01-25,frb-dtu,DTU Volley,
102,Alex, 3, 30,0.3,5.3,2.7,2.18, 5.9%, 47.1%,17.0,3.0,5.0,8.0,0.0,1.0,1.0, 45.0%, ,hvk,frb,141144,0.0, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,-0.3,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -, -,0.0,3.3,3.3,10.0,10.0,0.0, 0.0%, 100.0%, 30.0%, 80.0%,0.0,0.0,0.0, -, -, -,0.0,0.0,0.0,0.0,2024/2025,Hvidovre VK.2,Frederiksberg Volley,Frihedens Idrætscenter 1,yes,0 - 3,won,2025-03-29,hv2-frb,Hvidovre VK.2,
